duration_ms_x,explicit,id,is_local,name,popularity,album.name,album.release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms_y,time_signature
378884,False,4mVqJQ7WjKa4QxTA0Cci1z,False,Serpentarium,14,Murmansk-60,2018-10-26,0.352,0.596,3,-9.186,0,0.0494,0.0769,0.861,0.241,0.314,121.857,378884,4
271586,False,63hOdwOphe9bkrHrl2XvMY,False,Serpentarium,0,Tactile Gemma,2001,0.463,0.632,0,-6.014,1,0.0364,0.0735,0.0022,0.0714,0.315,80.004,271587,4
435437,False,7u5sFHah99mPfs5KqrW5Th,False,Serpentarium,0,Echoes of Science,2018-08-30,0.333,0.401,9,-13.551,0,0.0383,0.204,0.816,0.162,0.18,170.09,435438,4
151000,True,2GstmgnmMfikThy1r53umb,False,Serpentarium,0,Oh God Please Like Me,2016-02-18,0.601,0.438,9,-12.178,0,0.955,0.709,0.0,0.416,0.423,67.472,151000,4
222066,True,3QckYH7nBVoboXtrmpdeEi,False,Serpentarium,0,Serpentarium,2020-04-20,0.382,0.706,10,-9.097,0,0.262,0.0226,0.0173,0.112,0.113,87.954,222067,1
626625,False,0SUSDBqodaqQJIxGfouJ8J,False,Serpentarium,0,Serpentarium,2018-11-01,0.0819,0.18,0,-18.69,1,0.0391,0.669,0.955,0.098,0.0336,82.995,626625,4
158466,False,2ZHHuSTILjzPtrfCGBLPd6,False,Serpentarium,1,Recuerda,2007-08-23,0.459,0.913,9,-6.478,0,0.0509,3.64e-05,0.794,0.322,0.476,102.068,158467,4
198034,False,17kKPcOnk1glQYWlQcGLsm,False,Serpentarium,0,Butter Knives,2019-06-19,0.683,0.283,3,-12.089,1,0.0475,0.405,7.92e-05,0.0826,0.292,126.749,198035,4
193341,True,7ALEnl4jSyJmg956AbTNoY,False,Serpentarium,6,Prime Time (Mixtape),2018-12-14,0.818,0.793,7,-5.998,0,0.281,0.728,0.0334,0.187,0.291,110.033,193341,4
355239,False,20J1CiqGbzzCdbcz5hx3VV,False,Scintillation,0,Serpentarium,2018-11-01,0.569,0.0611,7,-24.371,1,0.0276,0.717,0.00519,0.0501,0.032,88.579,355239,4
347167,False,3dcSjfzEWixd2qxjSZTFrb,False,Sophistry,0,Serpentarium,2018-11-01,0.153,0.293,9,-15.443,0,0.0363,0.497,0.821,0.0478,0.0347,135.44,347167,3
182106,False,16bGYedGJKX79e0s0YIR2I,False,BREATHE,0,Savasana,2018-01-17,0.436,0.0582,6,-24.945,1,0.0356,0.816,0.803,0.114,0.0369,139.845,182107,4
284320,False,3MJcCxAHG1I0JvG1rP6T0D,False,ILLUMINATION,0,Savasana,2018-01-17,0.403,0.0086,0,-31.725,1,0.0404,0.964,0.941,0.122,0.0355,72.773,284320,4
205874,True,5oxtysfA1cb784ha2F7ayN,False,Контрольный,0,Serpentarium,2017-12-17,0.678,0.943,1,-5.617,1,0.225,0.0168,2.93e-06,0.0569,0.484,140.054,205875,4
240065,True,77vHfbe5XhJ1OdKfkVHHnY,False,Не выноси мне мозг,0,Serpentarium,2019-07-05,0.397,0.772,6,-6.482,0,0.0427,0.0112,0.0,0.129,0.265,140.994,240065,4
202893,True,1V1qBMJ2GlYWm8hAxW2mj5,False,I'm cobra,0,Serpentarium,2019-07-05,0.431,0.91,6,-2.24,1,0.389,0.16,0.0,0.614,0.467,200.235,202893,4
600241,False,6tPmD1OzN0B5oB8upA9Cxc,False,Serengeti,0,Serpentarium,2018-11-01,0.314,0.445,2,-18.794,1,0.0561,0.881,0.586,0.128,0.0365,123.311,600242,4
375520,False,2gkklqGeKLfwsjFqyANVkY,False,SAVASANA,0,Savasana,2018-01-17,0.063,0.011,0,-36.932,1,0.036,0.847,0.872,0.11,0.0337,66.813,375520,4
307106,False,0QyGscWJMP7bCH16G56msu,False,SURRENDER,0,Savasana,2018-01-17,0.473,0.0322,7,-28.656,1,0.0389,0.969,0.793,0.0982,0.152,139.947,307107,4
309080,False,6TtxgIL0aEpW6D9t7BAU9z,False,SANCTUARY,0,Savasana,2018-01-17,0.585,0.0381,0,-29.522,1,0.0402,0.811,0.904,0.11,0.0351,79.983,309080,4
